,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
31,Diego & Victor Hugo,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,4gDvg62vG96w0qJaF6wzcd,79,0.542,0.876,6,-3.378,1,0.0972,0.724,0.0,0.925,0.634,118.777,182735,4
32,MC Kevin o Chris,Resenha lá em casa,3NnW2EqJxvHYrRy3upaznl,79,0.674,0.447,5,-3.761,1,0.493,0.688,0.0,0.182,0.824,150.237,236852,4
33,Atitude 67,Tão Linda,59WWulo1LM0njpIkcduCMn,79,0.877,0.557,9,-9.074,1,0.0911,0.169,0.0,0.265,0.829,152.874,147843,4
34,MC Ysa,Baile da Colômbia (Brega Funk) - Remix,2qiqXQ2Suc253bR7k9AKVD,79,0.838,0.568,5,-5.555,0,0.111,0.419,0.0,0.0617,0.939,170.015,124000,4
35,Zé Felipe,Tiro Certo - Ao Vivo,6PrHpASrdyqydEKc8JFmEX,79,0.71,0.905,5,-5.146,1,0.0716,0.557,1.31e-06,0.709,0.688,130.046,179065,4
36,Melim,Gelo,0J6cINt02c8UQqDG7vLShY,79,0.542,0.563,0,-7.446,1,0.0958,0.242,0.0,0.109,0.897,169.909,149728,4
37,Vitão,Café,6i9ToXS6CAfjpp8veBklg1,79,0.776,0.5,11,-4.788,1,0.0979,0.0537,0.0,0.344,0.491,92.027,190435,4
38,Luíza & Maurílio,S de Saudade,3J5Pu25BODMex4Jpy4l6FL,78,0.714,0.712,11,-4.403,1,0.0545,0.621,0.0,0.127,0.789,123.804,174863,4
39,IZA,Brisa,5rNNZ6fVYxkhwqUfImVhU1,78,0.693,0.822,8,-2.478,1,0.259,0.459,0.0,0.261,0.791,159.663,151500,4
40,Gustavo Mioto,Fake News - Ao Vivo,4Cm51VOGs75ik79YMpJykG,78,0.804,0.637,11,-3.187,1,0.0542,0.47,0.0,0.969,0.732,113.979,175205,4
41,MC Kevin o Chris,Evoluiu,0WhDotK0QXigmsrlw0DxKK,78,0.776,0.465,7,-6.368,0,0.434,0.466,0.0,0.363,0.694,149.829,179644,4
42,Gusttavo Lima,Perrengue - Ao Vivo,5pddmkNwatcLOEqDqj7xEp,78,0.826,0.866,0,-1.517,1,0.0355,0.332,0.0,0.665,0.909,123.11,211483,4
43,Pabllo Vittar,Amor de Que,29caulxU0jxucdVIyhSJTc,78,0.737,0.819,11,-5.056,0,0.0446,0.0726,0.0,0.36,0.904,139.988,157929,4
44,MC Doni,Te Amo Sem Compromisso,4mkagJJ8AM1hzeyrgAJc3x,78,0.94,0.711,3,-3.975,1,0.191,0.00369,0.000117,0.0765,0.693,130.0,132923,4
45,Israel & Rodolffo,Também Sei Fazer Falta - Ao Vivo,6hrV6KYL9zM8vFAbOSxFHY,78,0.715,0.761,0,-5.539,1,0.0683,0.523,0.0,0.684,0.783,151.932,156838,4
46,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,94,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
47,MC Kevin o Chris,Ela É do Tipo (feat. Drake) - Remix,7qLnSuxwLNlcapat8OCWZp,80,0.576,0.524,6,-5.428,1,0.24,0.89,0.0,0.108,0.715,99.387,212433,3
48,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,6lK3nCiigk34SGqEjpQoqO,77,0.827,0.683,11,-5.113,0,0.0719,0.479,0.0,0.409,0.85,135.944,173892,4
49,Gusttavo Lima,Carreira Solo - Ao Vivo,6ZWkf3FDQQmyeel23ECpIP,77,0.806,0.933,2,-1.152,1,0.0376,0.409,0.0,0.871,0.916,126.957,215767,4
50,Diego & Arnaldo,Relógio Parado - Ao Vivo,5n8Y78Pl5q8lqS7sJP61qw,77,0.741,0.943,1,-1.401,1,0.0456,0.0486,0.0,0.965,0.725,124.984,180736,4
51,Zé Neto & Cristiano,Estado Decadente - Acústico,4eB8rsNNm5791m3uvEBNLR,77,0.757,0.687,1,-4.78,1,0.0658,0.586,0.0,0.111,0.583,117.927,173831,4
52,Projota,Sei Lá,6l1PdE7lQbodewVQh16GCM,77,0.661,0.43,6,-8.738,1,0.0422,0.519,0.0,0.111,0.962,151.955,190364,3
53,Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,2PqPSf3gtTED79rWGwVtYg,77,0.605,0.812,11,-4.699,1,0.0403,0.515,0.0,0.419,0.451,110.081,190245,4
54,Pixote,Nem de Graça / Saudade Arregaça - Ao Vivo,141xCZ6pvh4ymCsQkOFX80,77,0.477,0.813,10,-5.919,1,0.0743,0.605,0.0,0.467,0.75,97.888,342622,4
55,Pabllo Vittar,Parabéns,6X0XdIcgwfVa9orJnDMQB0,77,0.723,0.856,1,-5.596,1,0.0562,0.00687,2.48e-06,0.397,0.688,170.106,136844,4
56,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,97,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
57,Gusttavo Lima,Milu,1nqaSoiLuqevDes4S18sO7,77,0.845,0.787,2,-2.683,1,0.0374,0.261,3.43e-06,0.102,0.882,124.983,224997,4
58,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,96,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
59,MC WM,Para não,23GNCotvXa7WPvgYuruJjE,76,0.775,0.929,11,-3.049,0,0.154,0.467,0.0,0.358,0.911,150.068,164800,4
60,Mc Leozin,Maldita de Ex,6Diq6oBnDVzsrNcRllXRbM,76,0.811,0.583,6,-0.969,0,0.0306,0.194,0.000256,0.0685,0.673,133.054,164258,4
61,Mc Livinho,Se Prepara 2,0CgMeXQiNYJxPVQ2EMJxdL,76,0.648,0.453,8,-8.969,0,0.522,0.106,3.78e-06,0.106,0.359,130.199,147336,4
62,Murilo Huff,Dois Enganados,72N0CRIAqjETbhghrkCUW2,76,0.711,0.56,1,-4.098,1,0.0355,0.699,0.0,0.857,0.504,105.05,172751,4
63,Anitta,Onda diferente (feat. Papatinho),2H8ETIUEoN9YMf56X66bxd,77,0.705,0.721,1,-5.545,0,0.514,0.333,0.0,0.101,0.574,75.132,160900,4
64,Mano Walter,Fingindo Maturidade - Ao Vivo,3tU3UAasaDA9OixXGC3O33,76,0.577,0.919,5,-3.194,1,0.0982,0.286,0.0,0.943,0.736,166.059,189003,4
65,Maiara & Maraisa,Não Abro Mão - Ao Vivo,3L2uyIJoJPjYkSETVNSPBQ,76,0.615,0.499,1,-3.182,0,0.0378,0.892,0.0,0.945,0.588,94.798,180629,4
66,Marília Mendonça,Intenção - Ao Vivo,1qy7aOHnfnOMJoT1fhoLYG,76,0.613,0.611,6,-6.587,0,0.0843,0.376,0.0,0.91,0.628,139.474,202767,4
67,Wesley Safadão,Dois Lados,3vSXPjfcebTt5mB8DXHWM6,76,0.664,0.852,1,-4.059,1,0.0534,0.417,0.0,0.101,0.934,160.035,147187,4
68,Pedro Sampaio,Vai menina,1oQppEGTHYN53xfEaTz4ua,76,0.795,0.878,1,-3.261,0,0.278,0.413,0.0,0.0968,0.963,149.971,122435,4
69,Guilherme & Benuto,Flor Que Se Cheira - Ao Vivo,49pu85144Xir6PgWjeyJhG,76,0.68,0.759,2,-5.254,0,0.144,0.637,0.0,0.556,0.797,117.827,161375,4
70,Matheus & Kauan,Mágica - Ao Vivo,5cN5ZOVcYBl4Lnq50Zeqsx,76,0.568,0.698,1,-5.438,1,0.0727,0.629,0.0,0.0999,0.534,121.663,161598,4
71,Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,98,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
72,MC Kevin o Chris,Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,76,0.632,0.398,6,-6.615,1,0.373,0.945,0.0,0.228,0.633,90.695,204931,4
73,MC JottaPê,Eterna Sacanagem,1AfNdxHdE4OLcnQUyC6j3i,76,0.558,0.675,8,-4.564,1,0.484,0.501,0.0,0.106,0.769,92.678,168800,5
74,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4
75,Dilsinho,Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto),2lm3Ric7MeBk8hLfsiVokr,75,0.485,0.648,2,-6.465,1,0.0362,0.862,0.0,0.864,0.692,148.052,196831,4
76,Pineapple StormTv,Poesia Acústica #7: Céu Azul,2FGhB10Gon36GgFcOTMQEW,76,0.795,0.697,9,-4.276,0,0.31,0.0873,0.0,0.0997,0.542,102.756,572039,4
77,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,99,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
78,Marília Mendonça,Ciumeira - Ao Vivo,7D5F5BzIon5zhzQrOU2pdN,75,0.741,0.813,11,-4.83,0,0.0452,0.204,0.0,0.797,0.765,123.842,190084,4
79,Pk,Do jeito que tu gosta,34D0w6kVzuQ35vyHIFrWTC,75,0.639,0.534,9,-7.264,0,0.365,0.815,0.0,0.127,0.655,96.855,143246,3
80,MC Kevinho,Credo que delícia,4H9vyrlKZpzd1FW3oupnzD,75,0.779,0.861,3,-3.958,0,0.124,0.24,0.0,0.161,0.911,146.062,123288,4
81,Pedro Sampaio,SENTADÃO,4lKuzrdZrJuCAedbIslF3A,75,0.68,0.869,6,-1.94,1,0.0589,0.178,0.0,0.223,0.924,173.997,143448,4
82,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
83,MC Kevinho,Uma nora pra cada dia,2bbFhnxYjeb9jYEX2MDKLQ,76,0.888,0.528,9,-8.751,0,0.192,0.0394,0.0,0.0964,0.924,150.181,131200,4
84,Marília Mendonça,Apaixonadinha - Ao Vivo,0rUL7vUZmCKxB0gS83W3aM,75,0.663,0.771,0,-4.665,1,0.206,0.216,0.0,0.713,0.778,166.026,180921,4
85,Sorriso Maroto,50 Vezes - Ao Vivo,01wavOnjFBNgdMWBFYIAP4,75,0.557,0.657,7,-6.428,1,0.0277,0.822,1.54e-06,0.952,0.574,147.872,184107,4
86,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
87,Mc Poze do Rodo,To Voando Alto,7HLU2aJTAQfSIgJ2dMASsP,75,0.887,0.683,6,-3.167,1,0.173,0.311,1.95e-06,0.0833,0.797,145.266,137430,4
88,IZA,Meu talismã,5aayWOEE7u7bxZ3r7dwIrX,75,0.665,0.805,6,-1.938,1,0.0879,0.186,0.0,0.289,0.667,85.1,165176,4
89,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,98,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
90,WIU,Mantém,17rF54WvGGqPVxDheq8PP8,75,0.754,0.765,10,-5.354,0,0.0777,0.38,0.0,0.113,0.53,129.983,195692,4
91,Hungria Hip Hop,Um Pedido,3CgZi8DMUftJHK6WL2gKc1,75,0.813,0.57,1,-7.709,1,0.139,0.39,0.0,0.0987,0.215,139.996,203546,4
92,Orochi,Acende o Isqueiro,1DdEU9f7uXklMx6Dm0Mdwq,75,0.48,0.565,8,-9.954,0,0.375,0.38,0.0,0.096,0.806,112.988,207529,5
93,Felipe Araújo,Hoje Eu Beberei - Felipe Araújo In Brasília / Ao Vivo,4rnI4obabjGCPI2CCCs5VR,74,0.709,0.905,2,-2.91,1,0.0461,0.353,0.0,0.955,0.808,125.013,149696,4
94,Ludmilla,Verdinha,2RMOwSvOGQyy985Vx4VSGQ,74,0.845,0.954,8,-3.656,0,0.124,0.345,5.21e-05,0.115,0.63,137.995,160396,4
95,MEDUZA,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,90,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
96,George Henrique & Rodrigo,Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019,33g4LmRrWddOvMLnynSktj,74,0.871,0.494,11,-9.911,0,0.0816,0.622,0.0,0.0998,0.713,117.947,145198,4
97,Ferrugem,Até que enfim - Ao vivo,1zI3RU0boCVsAXChjCvESu,74,0.568,0.703,3,-5.268,1,0.034,0.538,0.0,0.922,0.74,139.889,224182,4
98,Marília Mendonça,Bebaça - Ao Vivo,6YjyT6MEMsMc41NNWk2dYg,74,0.663,0.884,2,-3.4,0,0.0716,0.652,0.0,0.156,0.875,172.059,175203,4
99,Pedro Sampaio,Fica à vontade,0h1mVA8gOPR71lxSeY67uT,74,0.724,0.911,11,-2.01,0,0.245,0.393,1.27e-05,0.296,0.947,150.132,140000,4
100,POCAH,Não sou obrigada,0nkDm27DGppCSk8dnGtvPa,74,0.819,0.951,6,-2.896,0,0.141,0.356,0.0,0.145,0.963,153.963,148340,4
101,Yasmin Santos,Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,4pnlRYoaaGu24SuC3et5Pv,74,0.716,0.828,11,-4.375,1,0.0727,0.16,0.0,0.686,0.806,124.895,190950,4
102,Vintage Culture,In The Dark,3K16ZsnNjOTY1Esnrx0rQg,75,0.56,0.888,6,-5.131,0,0.0511,0.00216,0.0386,0.104,0.162,124.05,207265,4
103,Zé Neto & Cristiano,Long Neck - Acústico,4Lxv5hGnHOUYBVeDgWgcaP,74,0.623,0.687,11,-5.435,1,0.0431,0.37,0.0,0.295,0.704,127.875,167500,4
104,Diego & Victor Hugo,Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília,6NgwHmEgfQVIYQBq8QcWMi,74,0.668,0.884,0,-3.239,1,0.0651,0.663,0.0,0.45,0.707,116.993,144071,4
105,Marília Mendonça,Sem Sal - Ao Vivo,0EZuXcsnjEmGuRYdFdcctX,74,0.559,0.844,0,-3.685,1,0.124,0.112,0.0,0.935,0.823,139.385,162751,4
106,MC Kevin o Chris,Morena Cor do Pecado,3N6isgIE6SAFbRfRIbQ3sd,74,0.708,0.305,6,-10.192,1,0.841,0.307,8.82e-06,0.12,0.86,104.432,133878,5
107,Vitão,Embrasa,4iANxSIDT3kGekiquMSAgT,74,0.699,0.531,0,-5.714,1,0.0889,0.107,0.0,0.568,0.701,127.967,243021,4
108,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
109,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,5qMnAsvgTfHMd5KQpzpnA1,70,0.57,0.889,0,-3.813,1,0.206,0.456,0.0,0.651,0.426,97.421,179100,4
110,Marília Mendonça,Obrigado por Estragar Tudo - Ao Vivo,4a5GPCo8oX4vvaRkciKlih,74,0.438,0.728,2,-4.934,1,0.123,0.606,0.0,0.915,0.609,152.76,176667,4
111,Boyzinho o Rei da Bregadeira,Trip do Boyzinho,41GMwa6sCB3iA2aS5T30iE,74,0.734,0.75,5,-3.072,0,0.0465,0.158,0.048,0.784,0.529,135.974,169903,4
112,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,100,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
113,João Gustavo e Murilo,Casa mais feliz da rua - Ao vivo,2fvxmRWpeqZN8xatpB66pC,73,0.565,0.719,4,-8.41,1,0.0509,0.25,0.0,0.158,0.624,160.004,165750,4
114,Dilsinho,Onze e Pouquinho,65i9Mc7h1CG7ssI1OhMPcT,73,0.609,0.597,9,-8.881,0,0.0378,0.722,0.0,0.158,0.746,140.03,180687,4
115,Vou pro Sereno,Teu Segredo - Ao Vivo,3kySOLOrkLeOPvu3HXEgVz,73,0.5,0.672,9,-7.363,1,0.0433,0.674,0.0,0.971,0.538,80.479,182861,4
116,Tropkillaz,Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,78,0.834,0.777,5,-4.538,0,0.0593,0.22,0.00609,0.335,0.865,129.984,193440,4
117,Lagum,Oi,78kar2tZk7655xZMibzXO3,73,0.806,0.56,7,-9.356,1,0.0485,0.296,0.0,0.101,0.72,134.057,175973,4
118,Mc Th,Deixa,4zZ2rPOa8itw3VuusVSicv,74,0.712,0.638,3,-4.551,0,0.181,0.3,0.0,0.0929,0.887,94.828,161684,4
119,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,90,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
120,A Banca Records,Outro Dia,1lTsRXDMWFbsFjQGkbL5TX,73,0.841,0.303,9,-14.794,1,0.389,0.313,7.14e-06,0.0926,0.32,128.061,232525,4
121,Mc Bola,Positividade,1YAtg8jo5fR3Q01eO2jPTl,73,0.83,0.533,2,-3.852,1,0.0735,0.237,0.0,0.105,0.615,163.931,190244,4
122,DJ Dollynho Da Lapa,Surtada - Versão Funk,450ngaSmjQMdJFVzCADNQB,73,0.687,0.861,0,-1.932,0,0.56,0.376,9.92e-06,0.0555,0.485,105.031,123000,5
123,MEDUZA,Piece Of Your Heart - Alok Remix,6iW38RGqdDGOofmz2HeXLW,79,0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,166452,4
124,Vitão,Edredom,0wryAFpQqHTvhteQx7ZNp2,73,0.689,0.619,7,-6.164,1,0.358,0.178,0.0,0.375,0.71,95.922,172700,4
125,Marília Mendonça,Bem Pior Que Eu - Ao Vivo,4UANYptjv2kpV6IY7IjXoJ,73,0.671,0.652,0,-4.689,1,0.0403,0.0164,0.0,0.929,0.404,113.867,168172,4
126,Wesley Safadão,Na Cama Que Eu Paguei - Ao Vivo,6hqQPoB1yYKcLfByfxO8he,73,0.548,0.846,6,-4.256,1,0.0741,0.0708,0.0,0.199,0.811,126.219,208155,4
127,Pk,Indomável (Participação especial de Belo),4YbZBChhX5SkLhNJcvvhuD,73,0.525,0.562,5,-6.41,0,0.216,0.63,0.0,0.0867,0.679,100.198,213665,4
128,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,98,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
129,MC Kevin o Chris,Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,73,0.872,0.971,6,-5.576,1,0.281,0.917,0.00143,0.121,0.521,149.987,161600,4
130,Thiaguinho,Deixa Tudo Como Tá - Ao Vivo,2BfbIbgrFXULyZ44mlSpbn,73,0.693,0.509,4,-9.343,1,0.154,0.429,0.0,0.799,0.554,142.952,211698,4
131,Orochi,Amor de Fim de Noite,0nDnvGagGAQP5vpgCyS5yH,73,0.472,0.427,7,-9.693,0,0.0664,0.841,0.0,0.0839,0.692,139.532,221143,4
132,MC WM,Senta braba,2SgVsDXzET5EU8VngMh9dv,73,0.876,0.724,7,-2.915,1,0.0955,0.228,0.000655,0.104,0.789,100.021,149616,4
133,Matuê,Banco,7MPQNyAX02uIEQCRsC4sgc,72,0.662,0.715,1,-6.593,1,0.153,0.123,1.41e-06,0.0916,0.28,165.879,254734,4
134,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,92,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
135,Costa Gold,Irmão DQbrada!,4CPhkF6SboNZoZfjgaEYME,72,0.896,0.758,10,-5.334,0,0.422,0.228,0.0,0.101,0.764,133.93,360560,4
136,Raí Saia Rodada,Bebe e Vem Me Procurar,3tu0GkIZwwkmILoD4HemBq,72,0.571,0.941,5,-6.712,0,0.0334,0.415,6.51e-06,0.299,0.969,169.95,154291,4
137,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,94,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
138,Luísa Sonza,Bomba Relógio,2wBInx2dacbbZUlLaklP7t,72,0.778,0.596,0,-6.779,0,0.0644,0.747,0.0,0.203,0.868,107.905,210838,4
139,The Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,97,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
140,Humberto & Ronaldo,Tchau Obrigado - Ao Vivo,1tqYKKvlnIcwNak6UWzzX0,72,0.569,0.598,6,-4.337,0,0.0329,0.748,0.0,0.848,0.858,134.382,150485,4
141,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,97,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
142,Maneiro Na Voz,Botadona,1L4FkMHbsJWmNmXLFtgHmW,72,0.666,0.671,8,-8.522,0,0.0577,0.501,3.56e-06,0.316,0.964,180.096,120346,4
143,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,93,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
144,Selena Gomez,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,92,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,5
145,MC Kevin o Chris,Namorar Não Dá,3TvRRQj7qg8GOD612X9hKT,72,0.774,0.654,1,-3.626,1,0.425,0.233,0.00208,0.087,0.742,99.864,122462,3
